iter	Passed	Remaining
0	145	43390
1	147	22019
2	150	14937
3	153	11378
4	156	9249
5	159	7816
6	162	6804
7	165	6048
8	168	5458
9	171	4976
10	174	4578
11	177	4250
12	179	3972
13	182	3731
14	185	3524
15	188	3341
16	191	3179
17	193	3032
18	196	2904
19	199	2786
20	201	2681
21	204	2583
22	207	2495
23	210	2415
24	213	2343
25	215	2274
26	218	2208
27	221	2147
28	223	2090
29	226	2038
30	229	1988
31	231	1942
32	234	1899
33	237	1857
34	240	1818
35	242	1780
36	245	1746
37	248	1714
38	251	1681
39	253	1650
40	256	1622
41	259	1594
42	262	1566
43	265	1542
44	267	1517
45	270	1493
46	273	1470
47	275	1448
48	278	1428
49	281	1406
50	284	1387
51	286	1367
52	289	1349
53	292	1330
54	294	1313
55	297	1296
56	300	1282
57	303	1265
58	306	1250
59	309	1236
60	311	1221
61	314	1207
62	317	1195
63	320	1183
64	323	1170
65	326	1158
66	330	1148
67	333	1137
68	336	1126
69	339	1116
70	343	1107
71	346	1097
72	349	1087
73	352	1077
74	355	1067
75	359	1058
76	362	1048
77	365	1039
78	368	1030
79	371	1020
80	372	1007
81	375	997
82	378	988
83	380	979
84	383	970
85	386	961
86	390	955
87	393	948
88	396	940
89	399	932
90	402	923
91	405	915
92	407	907
93	410	899
94	413	892
95	416	884
96	419	877
97	422	870
98	425	863
99	428	856
100	431	849
101	434	843
102	437	836
103	440	829
104	442	822
105	445	816
106	448	809
107	451	802
108	454	796
109	457	790
110	460	783
111	463	777
112	466	771
113	468	765
114	471	758
115	474	752
116	478	748
117	481	742
118	485	738
119	489	733
120	492	729
121	495	723
122	499	718
123	503	713
124	521	730
125	525	725
126	528	719
127	531	713
128	533	707
129	536	702
130	540	696
131	543	691
132	545	685
133	548	679
134	551	674
135	554	669
136	557	663
137	561	658
138	564	653
139	566	647
140	569	642
141	573	637
142	576	632
143	578	627
144	582	622
145	585	617
146	589	613
147	592	608
148	596	604
149	599	599
150	602	594
151	605	589
152	609	585
153	612	580
154	614	575
155	617	570
156	620	565
157	623	560
158	626	555
159	628	550
160	631	545
161	634	540
162	637	535
163	640	531
164	643	526
165	646	521
166	649	517
167	653	513
168	656	508
169	659	504
170	662	500
171	666	495
172	669	491
173	672	487
174	675	482
175	679	478
176	682	474
177	685	469
178	688	465
179	691	460
180	694	456
181	697	452
182	701	448
183	704	444
184	707	440
185	711	435
186	714	431
187	717	427
188	721	423
189	723	419
190	726	414
191	729	410
192	732	406
193	734	401
194	737	397
195	740	392
196	743	388
197	746	384
198	748	380
199	751	375
200	754	371
201	757	367
202	759	363
203	762	358
204	765	354
205	768	350
206	771	346
207	774	342
208	777	338
209	779	334
210	782	330
211	786	326
212	789	322
213	791	318
214	794	314
215	797	310
216	800	306
217	802	302
218	806	298
219	808	294
220	811	290
221	814	286
222	817	282
223	820	278
224	823	274
225	826	270
226	828	266
227	831	262
228	834	258
229	837	254
230	840	251
231	844	247
232	847	243
233	850	239
234	854	236
235	857	232
236	861	228
237	864	225
238	868	221
239	871	217
240	874	214
241	877	210
242	880	206
243	883	202
244	886	198
245	889	195
246	892	191
247	895	187
248	898	184
249	901	180
250	904	176
251	907	172
252	910	169
253	913	165
254	916	161
255	919	158
256	922	154
257	925	150
258	927	146
259	931	143
260	934	139
261	936	135
262	939	132
263	942	128
264	945	124
265	947	121
266	950	117
267	953	113
268	956	110
269	959	106
270	961	102
271	964	99
272	967	95
273	969	92
274	972	88
275	975	84
276	977	81
277	980	77
278	983	74
279	986	70
280	988	66
281	991	63
282	994	59
283	998	56
284	1002	52
285	1005	49
286	1009	45
287	1012	42
288	1015	38
289	1018	35
290	1021	31
291	1025	28
292	1029	24
293	1032	21
294	1035	17
295	1038	14
296	1041	10
297	1044	7
298	1047	3
299	1051	0
